xmin	xmax	clickSelects	PANEL	group
1230748200	1233426600	January 2009	2	1
1233426600	1235845800	February 2009	2	2
1235845800	1238524200	March 2009	2	3
1238524200	1241116200	April 2009	2	4
1241116200	1243794600	May 2009	2	5
1243794600	1246386600	June 2009	2	6
1246386600	1249065000	July 2009	2	7
1249065000	1251743400	August 2009	2	8
1251743400	1254335400	September 2009	2	9
1254335400	1257013800	October 2009	2	10
1257013800	1259605800	November 2009	2	11
1259605800	1262284200	December 2009	2	12
1262284200	1264962600	January 2010	2	13
1264962600	1267381800	February 2010	2	14
1267381800	1270060200	March 2010	2	15
1270060200	1272652200	April 2010	2	16
1272652200	1275330600	May 2010	2	17
1275330600	1277922600	June 2010	2	18
1277922600	1280601000	July 2010	2	19
1280601000	1283279400	August 2010	2	20
1283279400	1285871400	September 2010	2	21
1285871400	1288549800	October 2010	2	22
1288549800	1291141800	November 2010	2	23
1291141800	1293820200	December 2010	2	24
1293820200	1296498600	January 2011	2	25
1296498600	1298917800	February 2011	2	26
1298917800	1301596200	March 2011	2	27
1301596200	1304188200	April 2011	2	28
1304188200	1306866600	May 2011	2	29
1306866600	1309458600	June 2011	2	30
1309458600	1312137000	July 2011	2	31
1312137000	1314815400	August 2011	2	32
1314815400	1317407400	September 2011	2	33
1317407400	1320085800	October 2011	2	34
1320085800	1322677800	November 2011	2	35
1325356200	1328034600	January 2012	2	36
1328034600	1330540200	February 2012	2	37
1330540200	1333218600	March 2012	2	38
1333218600	1335810600	April 2012	2	39
1335810600	1338489000	May 2012	2	40
1338489000	1341081000	June 2012	2	41
1341081000	1343759400	July 2012	2	42
1343759400	1346437800	August 2012	2	43
1346437800	1349029800	September 2012	2	44
1349029800	1351708200	October 2012	2	45
1351708200	1354300200	November 2012	2	46
1356978600	1359657000	January 2013	2	47
1359657000	1362076200	February 2013	2	48
1362076200	1364754600	March 2013	2	49
1364754600	1367346600	April 2013	2	50
1367346600	1370025000	May 2013	2	51
1370025000	1372617000	June 2013	2	52
1372617000	1375295400	July 2013	2	53
1375295400	1377973800	August 2013	2	54
1377973800	1380565800	September 2013	2	55
